id,TotPop,AgeYoun,SeriCrim,Bdegree,BelowPoverty,Unemplo,PerIncome,Region
1,8863164,32.1,688936,22.3,11.6,8,184230,4
2,5105067,29.2,436936,22.8,11.1,7.2,110928,2
3,2818199,31.3,253526,25.4,12.5,5.7,55003,3
4,2498016,33.5,173821,25.3,8.1,6.1,48931,4
5,2410556,32.6,144524,27.8,5.2,4.8,58818,4
6,2300664,28.3,680966,16.6,19.5,9.5,38658,1
7,2122101,29.2,177593,22.1,8.8,4.9,38287,4
8,2111687,27.4,193978,13.7,16.9,10,36872,2
9,1937094,27.1,244725,18.8,14.2,8.7,34525,3
10,1852810,32.6,214258,26.3,10.4,6.1,38911,3
11,1585577,29.1,109148,15.2,16.1,8,26512,1
12,1507319,30.1,124959,32.8,5,4.6,35843,4
13,1497577,32.6,77009,32.6,5,5.5,37728,4
14,1418380,30.1,83110,14.9,10.3,8,23260,4
15,1412140,26.3,73150,20.1,11,5.5,29776,2
16,1398468,31.7,35825,35.4,4.2,7.3,35398,1
17,1336449,26.2,50186,22.6,8.7,5.3,27639,1
18,1321864,27.9,66723,23,3.3,7,32071,1
19,1287348,25.7,43203,30,2.5,5.1,40782,1
20,1279182,30.8,107338,28.8,8.1,5.3,28331,4
21,1255488,25.3,107386,18.8,7.1,7.4,28066,3
22,1185394,29.5,133098,19.7,16.2,6.7,18383,3
23,1170413,27.9,95494,14.6,8.4,10.7,20114,4
24,1170103,32.2,132495,24,8.2,6.6,22027,3
25,1083592,27.6,50964,30.2,4.4,7.3,29131,2
26,1041219,29.7,84305,23,9.8,6.3,19714,4
27,1032431,31.6,71753,31.6,6.4,4.3,24474,2
28,993529,26.1,42595,29.2,4,5.1,24062,2
29,968532,27.3,55306,20,9.4,6.8,17729,1
30,961437,33.5,82680,26.6,9.1,4.2,18306,2
31,959275,29.3,73681,19.3,12.6,4.9,17680,2
32,874866,26.3,37118,35.3,4.7,5.4,29159,1
33,866228,28,57208,23.7,10.3,4.5,17827,2
34,863518,23.3,76142,22.1,6.2,8.4,23141,3
35,851783,28.3,51926,25.8,6,6.9,21188,1
36,851659,22.4,62344,18.5,6.2,6.2,18404,3
37,836231,30.6,51032,24.6,5.4,2.3,17818,4
38,834054,29.4,89895,20.2,9.5,6,14075,3
39,827645,26.7,44374,34.2,4.5,5.9,26768,1
40,826330,29.4,67032,20.8,14.7,5.4,15229,3
41,825380,25.4,28521,31.7,2.7,5.2,26602,1
42,818584,29.2,30202,49,2.2,3.2,23738,3
43,804219,28.7,52903,24.2,6,7.3,17851,1
44,803732,26.5,51243,31.6,5.5,5.6,20514,4
45,797159,30.6,61004,21.4,9.3,5,15264,2
46,781666,29,29708,36,1.7,4.8,20927,2
47,778206,28.6,75595,24,11.3,7.9,19084,1
48,757027,28.6,34754,49.9,2.7,3.3,22772,3
49,741459,29,52786,13.8,7.5,5.8,13810,4
50,736014,30,87355,15.5,17.8,9.4,12706,3
51,729268,33.7,54469,25.5,3.7,5,14270,3
52,725956,27.8,58610,23.8,7.7,4.5,11179,4
53,723959,32.2,71234,35,9.7,5.6,20656,4
54,717400,28.2,41048,13.5,4,9.4,15011,2
55,713968,29,43780,26.3,7.7,4.4,15451,1
56,709705,29.2,7099,22.2,6.3,10.2,14120,1
57,692134,27.8,46789,25,3.8,5.7,16244,3
58,678111,26.1,20335,32.1,2.2,5,19300,1
59,677491,33.2,52577,21.2,7.8,6.6,12113,3
60,672971,30.7,68586,18.4,9.8,6.6,11886,3
61,671780,31.6,30548,26.5,3.4,5.7,16725,1
62,670080,27.3,34312,25.9,7.5,9,15301,1
63,669016,28.8,30235,23,5,7,14330,4
64,667490,28.3,62004,16.9,16.8,12.6,10923,4
65,666880,28.9,57051,23.3,12,3.9,10131,4
66,664937,27,32419,19.3,10.9,6.3,12727,3
67,663906,39.2,68808,27.7,14.4,8.7,15369,1
68,651525,26.7,55604,19.9,12.7,5.3,12134,3
69,649623,28.4,30473,31.3,4.3,4.2,18721,4
70,648951,31.6,93025,31.6,15.4,5.3,14808,3
71,633232,28.1,61760,20,9.8,6.5,11785,2
72,616087,28.8,14830,34.4,3.1,7.5,16578,1
73,606900,33.6,64393,33.3,13.3,7.7,14325,3
74,599611,28.4,57045,22.6,11.3,6,10638,3
75,596270,29.9,34627,18.3,8.9,9,10653,1
76,591610,29.5,54002,15.2,22.4,10.8,6830,3
77,586203,29.5,41980,17.5,8.7,6.4,9493,4
78,583887,28.4,58216,23.7,8.9,5.1,11219,4
79,576407,38,60961,34.7,10.2,4.8,10571,3
80,573809,28.1,36665,20,9.8,5.7,10564,2
81,553124,25.6,22302,28.4,3.4,5.8,15151,1
82,553099,31.5,40581,19.7,12.4,9,10212,1
83,547651,27.6,18924,24.8,5,5.3,12956,1
84,545837,32.6,56950,32.7,7.2,4.4,11465,3
85,543477,28.3,36318,13.3,13.7,11.8,8631,4
86,541174,26.6,16894,24.8,2.9,6.7,12202,1
87,516418,28.9,22349,32,3.7,4.6,14138,2
88,514990,26.8,26228,19.7,9.5,6,9570,2
89,511433,32,57999,28.3,7.2,4.8,10710,3
90,510784,32.1,45237,24.4,10,4.6,9963,3
91,506325,27.6,22023,15.9,7.4,12.3,9378,1
92,503341,28.2,39496,23.7,10,6.1,9712,3
93,502824,27.5,34814,21,8,6.9,10021,1
94,500631,29.6,31553,20.7,6.9,7.5,9349,2
95,496938,28.3,54238,22.4,27.3,6.1,8238,3
96,493819,26.8,30299,25,5.3,6.9,12962,1
97,485765,31,30574,28.8,8.1,4.3,9862,2
98,480628,27.7,41179,13.2,12,12,7427,4
99,480577,29.2,41280,26.7,10.9,5.2,8419,4
100,475594,25.5,29926,12.8,11.7,7.1,7765,2
101,468973,29.4,23249,24.4,7.1,5.6,9099,1
102,467610,30.3,37466,29,13.1,5.4,10360,4
103,465642,28.1,20323,19.3,4.9,5.6,8635,4
104,462361,27.8,38194,17,12,8.8,8237,2
105,456310,27.8,24247,17.6,10.9,9.6,8703,1
106,453060,28.9,26434,18.7,7.6,8.1,9955,1
107,448306,28.1,41625,18.8,11.4,5.6,7666,3
108,447745,31.7,27582,33,3.8,4.1,9820,3
109,441946,30.6,27717,25.2,5,6.2,9848,1
110,438430,26.9,23453,30.7,4.1,4.1,9206,4
111,435276,27.1,14846,22.2,5.3,10.4,9358,1
112,433203,22.4,17379,15.3,4.3,7.4,9086,1
113,430459,27.2,33136,12.8,14,12.6,7244,2
114,427239,29.6,21826,24.6,3,5,9740,3
115,423380,34.5,26006,35.3,5.5,3.5,8746,3
116,422822,27.2,13086,16.7,5.3,5.3,7982,1
117,421353,26.7,12147,36.7,1.8,5.1,13281,1
118,416444,29,26006,24.9,8.1,2.9,8174,2
119,405382,23.9,37290,12.9,9.4,10.1,6014,3
120,403662,28.5,34071,22.2,8.3,4.5,7781,2
121,398978,26.2,23686,20.4,6.3,7.1,7049,3
122,397014,31.7,25234,25.8,8.1,6.1,6673,4
123,396685,28.7,64103,15.3,20.6,9,7185,2
124,395066,28.8,13034,23.6,3.1,5.6,9090,1
125,393069,35.3,23412,25.5,4.3,5.4,6956,3
126,391511,28.3,27587,35.2,4.4,3.9,8812,4
127,388222,25.8,18556,24.5,5.2,5.7,8562,4
128,383545,26.4,26712,11.5,36.3,17.6,3413,3
129,380105,31.5,41592,27.5,15.1,5.4,6797,3
130,378643,26.7,30409,15.5,17.5,7.2,5448,3
131,376396,27.1,9491,34.7,3,4.6,9309,1
132,370712,24.3,25736,14.8,7.9,6.9,5801,3
133,370522,27.4,25461,13,11.4,14.3,5646,4
134,370321,23.3,7445,15.4,8.6,6.9,6321,1
135,369608,32.8,18313,26.6,7.4,6,8095,4
136,367585,24.9,17466,14.3,8.9,6.9,6211,2
137,367085,35.6,20344,34.2,4.8,3.1,7374,2
138,361364,27,20042,20.6,9.8,6.2,5914,4
139,357313,27.4,16432,18,4.5,7.4,6713,2
140,355660,32.6,17870,21.5,8.5,10.9,6923,4
141,355054,27.5,15238,40.5,2.5,3.3,9287,2
142,352910,32.6,17119,29.6,2.9,4,7009,3
143,349660,28.5,42404,23.5,10.5,5.8,6373,3
144,347420,30.4,28212,24.8,7.3,5.4,7070,3
145,340421,29.7,21756,18.7,6,7,5878,4
146,339574,26.6,11292,13.9,4.3,6.2,6622,1
147,336523,26.1,12827,15.1,5.2,6.7,6614,1
148,336073,30,12843,26.4,4,7.5,7589,1
149,335749,30,22422,23.9,10.2,4.6,5836,3
150,335113,21.5,18442,16.4,6.1,6.4,6326,3
151,328149,24.1,4982,13.1,8.3,8.8,5383,1
152,325824,29.2,20153,29.5,5.3,5.5,8480,1
153,320167,28.2,20504,21,7.8,4.9,5723,3
154,317471,27.8,16721,21.4,5,7.5,6884,2
155,311921,26.3,19489,11.8,18,17.1,4588,4
156,311554,27.6,12630,29.8,4.8,4.4,6210,4
157,307647,28,10975,19.5,6.4,6.7,6088,1
158,304715,24.4,8935,27.1,2.2,4.1,7010,2
159,300836,27.4,19842,19,5.6,5.9,5753,2
160,295039,34.1,28190,22.4,13.8,4.9,4725,3
161,292594,30.4,15077,28.3,6,4.5,6145,1
162,291479,29.9,13850,18.7,7.6,6.6,4882,2
163,291145,27.3,28606,17,17.2,7.7,4403,3
164,291130,26.3,12254,19.6,4.9,6.6,5760,1
165,287529,27.9,17518,26.3,5.3,6.1,5142,3
166,285720,34.7,24101,28,10.1,4.6,4896,3
167,285536,26.3,23532,19.7,10.2,5.9,5209,3
168,282937,39.5,19367,41.9,6.4,6,6446,2
169,282912,27.4,16091,22.2,9.4,6.5,4442,4
170,281912,37.4,17337,29.2,11,6.9,4922,2
171,281131,18.4,12509,9.1,7.9,8.3,3920,3
172,278850,23.1,12855,23.6,4.7,4.2,5561,4
173,277776,18.2,19801,21.9,4.6,5.1,6930,3
174,275572,27.5,9936,16.2,9.5,7.1,4500,1
175,275227,30.6,10953,27.6,3.3,4.7,5814,2
176,274566,37.4,25247,16.6,12.1,6.4,3548,3
177,273525,36.9,20372,32.3,4.5,5.6,4869,3
178,271126,26.4,9864,12.3,9.1,9.5,4340,2
179,265878,29.2,21554,24.1,7.8,4.4,5489,3
180,265475,25.5,7194,33,4.1,5.3,7103,1
181,265038,29.6,19369,13,8.8,5,4271,4
182,264806,23.5,13181,14,12.8,6.7,4305,2
183,264036,29.8,17625,39.1,3.9,5.9,5889,3
184,263590,33.9,10605,26.2,10.6,4.3,3023,4
185,262852,26.8,14563,14.7,13.9,8.4,4256,2
186,262798,29.2,14380,18.2,13.3,5.8,4045,3
187,261229,41.7,25194,16.8,15.1,6.4,4287,3
188,260120,25.9,18842,12,33.7,12.5,2530,3
